==============================
[+] Connecting to 192.168.88.132
[+] Address is 0x70
[+] Response is :
[+] Address is 0x71
[+] Response is :
[+] Address is 0x72
[+] Response is :
[+] Address is 0x73
[+] Response is :
[+] Address is 0x74
[+] Response is :
[+] Address is 0x75
[+] Response is :
[+] Address is 0x76
[+] Response is :
[+] Address is 0x77
[+] Response is :
[+] Address is 0x78
[+] Response is :
[+] Address is 0x79
[+] Response is :
[+] Address is 0x7a
[+] Response is :
[+] Address is 0x7b
[+] Response is :
[+] Address is 0x7c
[+] Response is :
[+] Address is 0x7d
[+] Response is :
[+] Address is 0x7e
[+] Response is :
[+] Address is 0x7f
[+] Response is :
[+] Address is 0x80
[+] Response is :
[+] Address is 0x81
[+] Response is :
[+] Address is 0x82
[+] Response is :
[+] Address is 0x83
[+] Response is :
[+] Address is 0x84
[+] Response is :
[+] Address is 0x85
[+] Response is :
[+] Address is 0x86
[+] Response is :
[+] Address is 0x87
[+] Response is :
[+] Address is 0x88
[+] Response is :
[+] Address is 0x89
[+] Response is :
[+] Address is 0x8a
[+] Response is :
[+] Address is 0x8b
[+] Response is :
[+] Address is 0x8c
[+] Response is :
[+] Address is 0x8d
[+] Response is :
[+] Address is 0x8e
[+] Response is :
[+] Address is 0x8f
[+] Response is :
[+] Address is 0x90
[+] Response is :
[+] Address is 0x91
[+] Response is :
[+] Address is 0x92
[+] Response is :
[+] Address is 0x93
[+] Response is :
[+] Address is 0x94
[+] Response is :
[+] Address is 0x95
[+] Response is :
[+] Address is 0x96
[+] Response is :
[+] Address is 0x97
[+] Response is :
[+] Address is 0x98
[+] Response is :
[+] Address is 0x99
[+] Response is :
[+] Address is 0x9a
[+] Response is :
[+] Address is 0x9b
[+] Response is :
[+] Address is 0x9c
[+] Response is :
[+] Address is 0x9d
[+] Response is :
[+] Address is 0x9e
[+] Response is :
[+] Address is 0x9f
[+] Response is :
[+] Address is 0xa0
[+] Response is :
[+] Address is 0xa1
[+] Response is :
[+] Address is 0xa2
[+] Response is :
[+] Address is 0xa3
[+] Response is :
[+] Address is 0xa4
[+] Response is :
[+] Address is 0xa5
[+] Response is :
[+] Address is 0xa6
[+] Response is :
[+] Address is 0xa7
[+] Response is :
[+] Address is 0xa8
[+] Response is :
[+] Address is 0xa9
[+] Response is :
[+] Address is 0xaa
[+] Response is :
[+] Address is 0xab
[+] Response is :
[+] Address is 0xac
[+] Response is :
[+] Address is 0xad
[+] Response is :
[+] Address is 0xae
[+] Response is :
[+] Address is 0xaf
[+] Response is :
[+] Address is 0xb0
[+] Response is :
[+] Address is 0xb1
[+] Response is :
[+] Address is 0xb2
[+] Response is :
[+] Address is 0xb3
[+] Response is :
[+] Address is 0xb4
[+] Response is :
[+] Address is 0xb5
[+] Response is :
[+] Address is 0xb6
[+] Response is :
[+] Address is 0xb7
[+] Response is :
[+] Address is 0xb8
[+] Response is :
[+] Address is 0xb9
[+] Response is :
[+] Address is 0xba
[+] Response is :
[+] Address is 0xbb
[+] Response is :
[+] Address is 0xbc
[+] Response is :
[+] Address is 0xbd
[+] Response is :
[+] Address is 0xbe
[+] Response is :
[+] Address is 0xbf
[+] Response is :
[+] Address is 0xc0
[+] Response is :
[+] Address is 0xc1
[+] Response is :
[+] Address is 0xc2
[+] Response is :
[+] Address is 0xc3
[+] Response is :
[+] Address is 0xc4
[+] Response is :
[+] Address is 0xc5
[+] Response is :
[+] Address is 0xc6
[+] Response is :
[+] Address is 0xc7
[+] Response is :
[+] Fuzzing Read Discrete Inputs on 192.168.88.132
[+] Address is 0x0
[+] Response is :
[+] Address is 0x1
[+] Response is :
[+] Address is 0x2
[+] Response is :
[+] Address is 0x3
[+] Response is :
[+] Address is 0x4
[+] Response is :
[+] Address is 0x5
[+] Response is :
[+] Address is 0x6
[+] Response is :
[+] Address is 0x7
[+] Response is :
[+] Address is 0x8
[+] Response is :
[+] Address is 0x9
[+] Response is :
[+] Address is 0xa
[+] Response is :
[+] Address is 0xb
[+] Response is :
[+] Address is 0xc
[+] Response is :
[+] Address is 0xd
[+] Response is :
[+] Address is 0xe
[+] Response is :
[+] Address is 0xf
[+] Response is :
[+] Address is 0x10
[+] Response is :
[+] Address is 0x11
[+] Response is :
[+] Address is 0x12
[+] Response is :
[+] Address is 0x13
[+] Response is :
[+] Address is 0x14
[+] Response is :
[+] Address is 0x15
[+] Response is :
[+] Address is 0x16
[+] Response is :
[+] Address is 0x17
[+] Response is :
[+] Address is 0x18
[+] Response is :
[+] Address is 0x19
[+] Response is :
[+] Address is 0x1a
[+] Response is :
[+] Address is 0x1b
[+] Response is :
[+] Address is 0x1c
[+] Response is :
[+] Address is 0x1d
[+] Response is :
[+] Address is 0x1e
[+] Response is :
[+] Address is 0x1f
[+] Response is :
[+] Address is 0x20
[+] Response is :
[+] Address is 0x21
[+] Response is :
[+] Address is 0x22
[+] Response is :
[+] Address is 0x23
[+] Response is :
[+] Address is 0x24
[+] Response is :
[+] Address is 0x25
[+] Response is :
[+] Address is 0x26
[+] Response is :
[+] Address is 0x27
[+] Response is :
[+] Address is 0x28
[+] Response is :
[+] Address is 0x29
[+] Response is :
[+] Address is 0x2a
[+] Response is :
[+] Address is 0x2b
[+] Response is :
[+] Address is 0x2c
[+] Response is :
[+] Address is 0x2d
[+] Response is :
[+] Address is 0x2e
[+] Response is :
[+] Address is 0x2f
[+] Response is :
[+] Address is 0x30
[+] Response is :
[+] Address is 0x31
[+] Response is :
[+] Address is 0x32
[+] Response is :
[+] Address is 0x33
[+] Response is :
[+] Address is 0x34
[+] Response is :
[+] Address is 0x35
[+] Response is :
[+] Address is 0x36
[+] Response is :
[+] Address is 0x37
[+] Response is :
[+] Address is 0x38
[+] Response is :
[+] Address is 0x39
[+] Response is :
[+] Address is 0x3a
[+] Response is :
[+] Address is 0x3b
[+] Response is :
[+] Address is 0x3c
[+] Response is :
[+] Address is 0x3d
[+] Response is :
[+] Address is 0x3e
[+] Response is :
[+] Address is 0x3f
[+] Response is :
[+] Address is 0x40
[+] Response is :
[+] Address is 0x41
[+] Response is :
[+] Address is 0x42
[+] Response is :
[+] Address is 0x43
[+] Response is :
[+] Address is 0x44
[+] Response is :
[+] Address is 0x45
[+] Response is :
[+] Address is 0x46
[+] Response is :
[+] Address is 0x47
[+] Response is :
[+] Address is 0x48
[+] Response is :
[+] Address is 0x49
[+] Response is :
[+] Address is 0x4a
[+] Response is :
[+] Address is 0x4b
[+] Response is :
[+] Address is 0x4c
[+] Response is :
[+] Address is 0x4d
[+] Response is :
[+] Address is 0x4e
[+] Response is :
[+] Address is 0x4f
[+] Response is :
[+] Address is 0x50
[+] Response is :
[+] Address is 0x51
[+] Response is :
[+] Address is 0x52
[+] Response is :
[+] Address is 0x53
[+] Response is :
[+] Address is 0x54
[+] Response is :
[+] Address is 0x55
[+] Response is :
[+] Address is 0x56
[+] Response is :
[+] Address is 0x57
[+] Response is :
[+] Address is 0x58
[+] Response is :
[+] Address is 0x59
[+] Response is :
[+] Address is 0x5a
[+] Response is :
[+] Address is 0x5b
[+] Response is :
[+] Address is 0x5c
[+] Response is :
[+] Address is 0x5d
[+] Response is :
[+] Address is 0x5e
[+] Response is :
[+] Address is 0x5f
[+] Response is :
[+] Address is 0x60
[+] Response is :
[+] Address is 0x61
[+] Response is :
[+] Address is 0x62
[+] Response is :
[+] Address is 0x63
[+] Response is :
[+] Address is 0x64
[+] Response is :
[+] Address is 0x65
[+] Response is :
[+] Address is 0x66
[+] Response is :
[+] Address is 0x67
[+] Response is :
[+] Address is 0x68
[+] Response is :
[+] Address is 0x69
[+] Response is :
[+] Address is 0x6a
[+] Response is :
[+] Address is 0x6b
[+] Response is :
[+] Address is 0x6c
[+] Response is :
[+] Address is 0x6d
[+] Response is :
[+] Address is 0x6e
[+] Response is :
[+] Address is 0x6f
[+] Response is :
[+] Address is 0x70
[+] Response is :
[+] Address is 0x71
[+] Response is :
[+] Address is 0x72
[+] Response is :
[+] Address is 0x73
[+] Response is :
[+] Address is 0x74
[+] Response is :
[+] Address is 0x75
[+] Response is :
[+] Address is 0x76
[+] Response is :
[+] Address is 0x77
[+] Response is :
[+] Address is 0x78
[+] Response is :
[+] Address is 0x79
[+] Response is :
[+] Address is 0x7a
[+] Response is :
[+] Address is 0x7b
[+] Response is :
[+] Address is 0x7c
[+] Response is :
[+] Address is 0x7d
[+] Response is :
[+] Address is 0x7e
[+] Response is :
[+] Address is 0x7f
[+] Response is :
[+] Address is 0x80
[+] Response is :
[+] Address is 0x81
[+] Response is :
[+] Address is 0x82
[+] Response is :
[+] Address is 0x83
[+] Response is :
[+] Address is 0x84
[+] Response is :
[+] Address is 0x85
[+] Response is :
[+] Address is 0x86
[+] Response is :
[+] Address is 0x87
[+] Response is :
[+] Address is 0x88
[+] Response is :
[+] Address is 0x89
[+] Response is :
[+] Address is 0x8a
[+] Response is :
[+] Address is 0x8b
[+] Response is :
[+] Address is 0x8c
[+] Response is :
[+] Address is 0x8d
[+] Response is :
[+] Address is 0x8e
[+] Response is :
[+] Address is 0x8f
[+] Response is :
[+] Address is 0x90
[+] Response is :
[+] Address is 0x91
[+] Response is :
[+] Address is 0x92
[+] Response is :
[+] Address is 0x93
[+] Response is :
[+] Address is 0x94
[+] Response is :
[+] Address is 0x95
[+] Response is :
[+] Address is 0x96
[+] Response is :
[+] Address is 0x97
[+] Response is :
[+] Address is 0x98
[+] Response is :
[+] Address is 0x99
[+] Response is :
[+] Address is 0x9a
[+] Response is :
[+] Address is 0x9b
[+] Response is :
[+] Address is 0x9c
[+] Response is :
[+] Address is 0x9d
[+] Response is :
[+] Address is 0x9e
[+] Response is :
[+] Address is 0x9f
[+] Response is :
[+] Address is 0xa0
[+] Response is :
[+] Address is 0xa1
[+] Response is :
[+] Address is 0xa2
[+] Response is :
[+] Address is 0xa3
[+] Response is :
[+] Address is 0xa4
[+] Response is :
[+] Address is 0xa5
[+] Response is :
[+] Address is 0xa6
[+] Response is :
[+] Address is 0xa7
[+] Response is :
[+] Address is 0xa8
[+] Response is :
[+] Address is 0xa9
[+] Response is :
[+] Address is 0xaa
[+] Response is :
[+] Address is 0xab
[+] Response is :
[+] Address is 0xac
[+] Response is :
[+] Address is 0xad
[+] Response is :
[+] Address is 0xae
[+] Response is :
[+] Address is 0xaf
[+] Response is :
[+] Address is 0xb0
[+] Response is :
[+] Address is 0xb1
[+] Response is :
[+] Address is 0xb2
[+] Response is :
[+] Address is 0xb3
[+] Response is :
[+] Address is 0xb4
[+] Response is :
[+] Address is 0xb5
[+] Response is :
[+] Address is 0xb6
[+] Response is :
[+] Address is 0xb7
[+] Response is :
[+] Address is 0xb8
[+] Response is :
[+] Address is 0xb9
[+] Response is :
[+] Address is 0xba
[+] Response is :
[+] Address is 0xbb
[+] Response is :
[+] Address is 0xbc
[+] Response is :
[+] Address is 0xbd
[+] Response is :
[+] Address is 0xbe
[+] Response is :
[+] Address is 0xbf
[+] Response is :
[+] Address is 0xc0
[+] Response is :
[+] Address is 0xc1
[+] Response is :
[+] Address is 0xc2
[+] Response is :
[+] Address is 0xc3
[+] Response is :
[+] Address is 0xc4
[+] Response is :
[+] Address is 0xc5
[+] Response is :
[+] Address is 0xc6
[+] Response is :
[+] Address is 0xc7
[+] Response is :
[+] Fuzzing Read Holding Registers on 192.168.88.132
[+] Address is 0x0
[+] Response is :
[+] Address is 0x1
[+] Response is :
[+] Address is 0x2
[+] Response is :
[+] Address is 0x3
[+] Response is :
[+] Address is 0x4
[+] Response is :
[+] Address is 0x5
[+] Response is :
[+] Address is 0x6
[+] Response is :
[+] Address is 0x7
[+] Response is :
[+] Address is 0x8
[+] Response is :
[+] Address is 0x9
[+] Response is :
[+] Address is 0xa
[+] Response is :
[+] Address is 0xb
[+] Response is :
[+] Address is 0xc
[+] Response is :
[+] Address is 0xd
[+] Response is :
[+] Address is 0xe
[+] Response is :
[+] Address is 0xf
[+] Response is :
[+] Address is 0x10
[+] Response is :
[+] Address is 0x11
[+] Response is :
[+] Address is 0x12
[+] Response is :
[+] Address is 0x13
[+] Response is :
[+] Address is 0x14
[+] Response is :
[+] Address is 0x15
[+] Response is :
[+] Address is 0x16
[+] Response is :
[+] Address is 0x17
[+] Response is :
[+] Address is 0x18
[+] Response is :
[+] Address is 0x19
[+] Response is :
[+] Address is 0x1a
[+] Response is :
[+] Address is 0x1b
[+] Response is :
[+] Address is 0x1c
[+] Response is :
[+] Address is 0x1d
[+] Response is :
[+] Address is 0x1e
[+] Response is :
[+] Address is 0x1f
[+] Response is :
[+] Address is 0x20
[+] Response is :
[+] Address is 0x21
[+] Response is :
[+] Address is 0x22
[+] Response is :
[+] Address is 0x23
[+] Response is :
[+] Address is 0x24
[+] Response is :
[+] Address is 0x25
[+] Response is :
[+] Address is 0x26
[+] Response is :
[+] Address is 0x27
[+] Response is :
[+] Address is 0x28
[+] Response is :
[+] Address is 0x29
[+] Response is :
[+] Address is 0x2a
[+] Response is :
[+] Address is 0x2b
[+] Response is :
[+] Address is 0x2c
[+] Response is :
[+] Address is 0x2d
[+] Response is :
[+] Address is 0x2e
[+] Response is :
[+] Address is 0x2f
[+] Response is :
[+] Address is 0x30
[+] Response is :
[+] Address is 0x31
[+] Response is :
[+] Address is 0x32
[+] Response is :
[+] Address is 0x33
[+] Response is :
[+] Address is 0x34
[+] Response is :
[+] Address is 0x35
[+] Response is :
[+] Address is 0x36
[+] Response is :
[+] Address is 0x37
[+] Response is :
[+] Address is 0x38
[+] Response is :
[+] Address is 0x39
[+] Response is :
[+] Address is 0x3a
[+] Response is :
[+] Address is 0x3b
[+] Response is :
[+] Address is 0x3c
[+] Response is :
[+] Address is 0x3d
[+] Response is :
[+] Address is 0x3e
[+] Response is :
[+] Address is 0x3f
[+] Response is :
[+] Address is 0x40
[+] Response is :
[+] Address is 0x41
[+] Response is :
[+] Address is 0x42
[+] Response is :
[+] Address is 0x43
[+] Response is :
[+] Address is 0x44
[+] Response is :
[+] Address is 0x45
[+] Response is :
[+] Address is 0x46
[+] Response is :
[+] Address is 0x47
[+] Response is :
[+] Address is 0x48
[+] Response is :
[+] Address is 0x49
[+] Response is :
[+] Address is 0x4a
[+] Response is :
[+] Address is 0x4b
[+] Response is :
[+] Address is 0x4c
[+] Response is :
[+] Address is 0x4d
[+] Response is :
[+] Address is 0x4e
[+] Response is :
[+] Address is 0x4f
[+] Response is :
[+] Address is 0x50
[+] Response is :
[+] Address is 0x51
[+] Response is :
[+] Address is 0x52
[+] Response is :
[+] Address is 0x53
[+] Response is :
[+] Address is 0x54
[+] Response is :
[+] Address is 0x55
[+] Response is :
[+] Address is 0x56
[+] Response is :
[+] Address is 0x57
[+] Response is :
[+] Address is 0x58
[+] Response is :
[+] Address is 0x59
[+] Response is :
[+] Address is 0x5a
[+] Response is :
[+] Address is 0x5b
[+] Response is :
[+] Address is 0x5c
[+] Response is :
[+] Address is 0x5d
[+] Response is :
[+] Address is 0x5e
[+] Response is :
[+] Address is 0x5f
[+] Response is :
[+] Address is 0x60
[+] Response is :
[+] Address is 0x61
[+] Response is :
[+] Address is 0x62
[+] Response is :
[+] Address is 0x63
[+] Response is :
[+] Address is 0x64
[+] Response is :
[+] Address is 0x65
[+] Response is :
[+] Address is 0x66
[+] Response is :
[+] Address is 0x67
[+] Response is :
[+] Address is 0x68
[+] Response is :
[+] Address is 0x69
[+] Response is :
[+] Address is 0x6a
[+] Response is :
[+] Address is 0x6b
[+] Response is :
[+] Address is 0x6c
[+] Response is :
[+] Address is 0x6d
[+] Response is :
[+] Address is 0x6e
[+] Response is :
[+] Address is 0x6f
[+] Response is :
[+] Address is 0x70
[+] Response is :
[+] Address is 0x71
[+] Response is :
[+] Address is 0x72
[+] Response is :
[+] Address is 0x73
[+] Response is :
[+] Address is 0x74
[+] Response is :
[+] Address is 0x75
[+] Response is :
[+] Address is 0x76
[+] Response is :
[+] Address is 0x77
[+] Response is :
[+] Address is 0x78
[+] Response is :
[+] Address is 0x79
[+] Response is :
[+] Address is 0x7a
[+] Response is :
[+] Address is 0x7b
[+] Response is :
[+] Address is 0x7c
[+] Response is :
[+] Address is 0x7d
[+] Response is :
[+] Address is 0x7e
[+] Response is :
[+] Address is 0x7f
[+] Response is :
[+] Address is 0x80
[+] Response is :
[+] Address is 0x81
[+] Response is :
[+] Address is 0x82
[+] Response is :
[+] Address is 0x83
[+] Response is :
[+] Address is 0x84
[+] Response is :
[+] Address is 0x85
[+] Response is :
[+] Address is 0x86
[+] Response is :
[+] Address is 0x87
[+] Response is :
[+] Address is 0x88
[+] Response is :
[+] Address is 0x89
[+] Response is :
[+] Address is 0x8a
[+] Response is :
[+] Address is 0x8b
[+] Response is :
[+] Address is 0x8c
[+] Response is :
[+] Address is 0x8d
[+] Response is :
[+] Address is 0x8e
[+] Response is :
[+] Address is 0x8f
[+] Response is :
[+] Address is 0x90
[+] Response is :
[+] Address is 0x91
[+] Response is :
[+] Address is 0x92
[+] Response is :
[+] Address is 0x93
[+] Response is :
[+] Address is 0x94
[+] Response is :
[+] Address is 0x95
[+] Response is :
[+] Address is 0x96
[+] Response is :
[+] Address is 0x97
[+] Response is :
[+] Address is 0x98
[+] Response is :
[+] Address is 0x99
[+] Response is :
[+] Address is 0x9a
[+] Response is :
[+] Address is 0x9b
[+] Response is :
[+] Address is 0x9c
[+] Response is :
[+] Address is 0x9d
[+] Response is :
[+] Address is 0x9e
[+] Response is :
[+] Address is 0x9f
[+] Response is :
[+] Address is 0xa0
[+] Response is :
[+] Address is 0xa1
[+] Response is :
[+] Address is 0xa2
[+] Response is :
[+] Address is 0xa3
[+] Response is :
[+] Address is 0xa4
[+] Response is :
[+] Address is 0xa5
[+] Response is :
[+] Address is 0xa6
[+] Response is :
[+] Address is 0xa7
[+] Response is :
[+] Address is 0xa8
[+] Response is :
[+] Address is 0xa9
[+] Response is :
[+] Address is 0xaa
[+] Response is :
[+] Address is 0xab
[+] Response is :
[+] Address is 0xac
[+] Response is :
[+] Address is 0xad
[+] Response is :
[+] Address is 0xae
[+] Response is :
[+] Address is 0xaf
[+] Response is :
[+] Address is 0xb0
[+] Response is :
[+] Address is 0xb1
[+] Response is :
[+] Address is 0xb2
[+] Response is :
[+] Address is 0xb3
[+] Response is :
[+] Address is 0xb4
[+] Response is :
[+] Address is 0xb5
[+] Response is :
[+] Address is 0xb6
[+] Response is :
[+] Address is 0xb7
[+] Response is :
[+] Address is 0xb8
[+] Response is :
[+] Address is 0xb9
[+] Response is :
[+] Address is 0xba
[+] Response is :
[+] Address is 0xbb
[+] Response is :
[+] Address is 0xbc
[+] Response is :
[+] Address is 0xbd
[+] Response is :
[+] Address is 0xbe
[+] Response is :
[+] Address is 0xbf
[+] Response is :
[+] Address is 0xc0
[+] Response is :
[+] Address is 0xc1
[+] Response is :
[+] Address is 0xc2
[+] Response is :
[+] Address is 0xc3
[+] Response is :
[+] Address is 0xc4
[+] Response is :
[+] Address is 0xc5
[+] Response is :
[+] Address is 0xc6
[+] Response is :
[+] Address is 0xc7
[+] Response is :


==============================
[+] Connecting to 192.168.88.132
[+] Fuzzing Read Coils on 192.168.88.132
[+] Address is 0x0
[+] Response is :
[+] Address is 0x1
[+] Response is :
[+] Address is 0x2
[+] Response is :
[+] Address is 0x3
[+] Response is :
[+] Address is 0x4
[+] Response is :
[+] Address is 0x5
[+] Response is :
[+] Address is 0x6
[+] Response is :
[+] Address is 0x7
[+] Response is :
[+] Address is 0x8
[+] Response is :
[+] Address is 0x9
[+] Response is :
[+] Address is 0xa
[+] Response is :
[+] Address is 0xb
[+] Response is :
[+] Address is 0xc
[+] Response is :
[+] Address is 0xd
[+] Response is :
[+] Address is 0xe
[+] Response is :
[+] Address is 0xf
[+] Response is :
[+] Address is 0x10
[+] Response is :
[+] Address is 0x11
[+] Response is :
[+] Address is 0x12
[+] Response is :
[+] Address is 0x13
[+] Response is :
[+] Address is 0x14
[+] Response is :
[+] Address is 0x15
[+] Response is :
[+] Address is 0x16
[+] Response is :
[+] Address is 0x17
[+] Response is :
[+] Address is 0x18
[+] Response is :
[+] Address is 0x19
[+] Response is :
[+] Address is 0x1a
[+] Response is :
[+] Address is 0x1b
[+] Response is :
[+] Address is 0x1c
[+] Response is :
[+] Address is 0x1d
[+] Response is :
[+] Address is 0x1e
[+] Response is :
[+] Address is 0x1f
[+] Response is :
[+] Address is 0x20
[+] Response is :
[+] Address is 0x21
[+] Response is :
[+] Address is 0x22
[+] Response is :
[+] Address is 0x23
[+] Response is :
[+] Address is 0x24
[+] Response is :
[+] Address is 0x25
[+] Response is :
[+] Address is 0x26
[+] Response is :
[+] Address is 0x27
[+] Response is :
[+] Address is 0x28
[+] Response is :
[+] Address is 0x29
[+] Response is :
[+] Address is 0x2a
[+] Response is :
[+] Address is 0x2b
[+] Response is :
[+] Address is 0x2c
[+] Response is :
[+] Address is 0x2d
[+] Response is :
[+] Address is 0x2e
[+] Response is :
[+] Address is 0x2f
[+] Response is :
[+] Address is 0x30
[+] Response is :
[+] Address is 0x31
[+] Response is :
[+] Address is 0x32
[+] Response is :
[+] Address is 0x33
[+] Response is :
[+] Address is 0x34
[+] Response is :
[+] Address is 0x35
[+] Response is :
[+] Address is 0x36
[+] Response is :
[+] Address is 0x37
[+] Response is :
[+] Address is 0x38
[+] Response is :
[+] Address is 0x39
[+] Response is :
[+] Address is 0x3a
[+] Response is :
[+] Address is 0x3b
[+] Response is :
[+] Address is 0x3c
[+] Response is :
[+] Address is 0x3d
[+] Response is :
[+] Address is 0x3e
[+] Response is :
[+] Address is 0x3f
[+] Response is :
[+] Address is 0x40
[+] Response is :
[+] Address is 0x41
[+] Response is :
[+] Address is 0x42
[+] Response is :
[+] Address is 0x43
[+] Response is :
[+] Address is 0x44
[+] Response is :
[+] Address is 0x45
[+] Response is :
[+] Address is 0x46
[+] Response is :
[+] Address is 0x47
[+] Response is :
[+] Address is 0x48
[+] Response is :
[+] Address is 0x49
[+] Response is :
[+] Address is 0x4a
[+] Response is :
[+] Address is 0x4b
[+] Response is :
[+] Address is 0x4c
[+] Response is :
[+] Address is 0x4d
[+] Response is :
[+] Address is 0x4e
[+] Response is :
[+] Address is 0x4f
[+] Response is :
[+] Address is 0x50
[+] Response is :
[+] Address is 0x51
[+] Response is :
[+] Address is 0x52
[+] Response is :
[+] Address is 0x53
[+] Response is :
[+] Address is 0x54
[+] Response is :
[+] Address is 0x55
[+] Response is :
[+] Address is 0x56
[+] Response is :
[+] Address is 0x57
[+] Response is :
[+] Address is 0x58
[+] Response is :
[+] Address is 0x59
[+] Response is :
[+] Address is 0x5a
[+] Response is :
[+] Address is 0x5b
[+] Response is :
[+] Address is 0x5c
[+] Response is :
[+] Address is 0x5d
[+] Response is :
[+] Address is 0x5e
[+] Response is :
[+] Address is 0x5f
[+] Response is :
[+] Address is 0x60
[+] Response is :
[+] Address is 0x61
[+] Response is :
[+] Address is 0x62
[+] Response is :
[+] Address is 0x63
[+] Response is :
[+] Address is 0x64
[+] Response is :
[+] Address is 0x65
[+] Response is :
[+] Address is 0x66
[+] Response is :
[+] Address is 0x67
[+] Response is :
[+] Address is 0x68
[+] Response is :
[+] Address is 0x69
[+] Response is :
[+] Address is 0x6a
[+] Response is :
[+] Address is 0x6b
[+] Response is :
[+] Address is 0x6c
[+] Response is :
[+] Address is 0x6d
[+] Response is :
[+] Address is 0x6e
[+] Response is :
[+] Address is 0x6f
[+] Response is :
[+] Address is 0x70
[+] Response is :
[+] Address is 0x71
[+] Response is :
[+] Address is 0x72
[+] Response is :
[+] Address is 0x73
[+] Response is :
[+] Address is 0x74
[+] Response is :
[+] Address is 0x75
[+] Response is :
[+] Address is 0x76
[+] Response is :
[+] Address is 0x77
[+] Response is :
[+] Address is 0x78
[+] Response is :
[+] Address is 0x79
[+] Response is :
[+] Address is 0x7a
[+] Response is :
[+] Address is 0x7b
[+] Response is :
[+] Address is 0x7c
[+] Response is :
[+] Address is 0x7d
[+] Response is :
[+] Address is 0x7e
[+] Response is :
[+] Address is 0x7f
[+] Response is :
[+] Address is 0x80
[+] Response is :
[+] Address is 0x81
[+] Response is :
[+] Address is 0x82
[+] Response is :
[+] Address is 0x83
[+] Response is :
[+] Address is 0x84
[+] Response is :
[+] Address is 0x85
[+] Response is :
[+] Address is 0x86
[+] Response is :
[+] Address is 0x87
[+] Response is :
[+] Address is 0x88
[+] Response is :
[+] Address is 0x89
[+] Response is :
[+] Address is 0x8a
[+] Response is :
[+] Address is 0x8b
[+] Response is :
[+] Address is 0x8c
[+] Response is :
[+] Address is 0x8d
[+] Response is :
[+] Address is 0x8e
[+] Response is :
[+] Address is 0x8f
[+] Response is :
[+] Address is 0x90
[+] Response is :
[+] Address is 0x91
[+] Response is :
[+] Address is 0x92
[+] Response is :
[+] Address is 0x93
[+] Response is :
[+] Address is 0x94
[+] Response is :
[+] Address is 0x95
[+] Response is :
[+] Address is 0x96
[+] Response is :
[+] Address is 0x97
[+] Response is :
[+] Address is 0x98
[+] Response is :
[+] Address is 0x99
[+] Response is :
[+] Address is 0x9a
[+] Response is :
[+] Address is 0x9b
[+] Response is :
[+] Address is 0x9c
[+] Response is :
[+] Address is 0x9d
[+] Response is :
[+] Address is 0x9e
[+] Response is :
[+] Address is 0x9f
[+] Response is :
[+] Address is 0xa0
[+] Response is :
[+] Address is 0xa1
[+] Response is :
[+] Address is 0xa2
[+] Response is :
[+] Address is 0xa3
[+] Response is :
[+] Address is 0xa4
[+] Response is :
[+] Address is 0xa5
[+] Response is :
[+] Address is 0xa6
[+] Response is :
[+] Address is 0xa7
[+] Response is :
[+] Address is 0xa8
[+] Response is :
[+] Address is 0xa9
[+] Response is :
[+] Address is 0xaa
[+] Response is :
[+] Address is 0xab
[+] Response is :
[+] Address is 0xac
[+] Response is :
[+] Address is 0xad
[+] Response is :
[+] Address is 0xae
[+] Response is :
[+] Address is 0xaf
[+] Response is :
[+] Address is 0xb0
[+] Response is :
[+] Address is 0xb1
[+] Response is :
[+] Address is 0xb2
[+] Response is :
[+] Address is 0xb3
[+] Response is :
[+] Address is 0xb4
[+] Response is :
[+] Address is 0xb5
[+] Response is :
[+] Address is 0xb6
[+] Response is :
[+] Address is 0xb7
[+] Response is :
[+] Address is 0xb8
[+] Response is :
[+] Address is 0xb9
[+] Response is :
[+] Address is 0xba
[+] Response is :
[+] Address is 0xbb
[+] Response is :
[+] Address is 0xbc
[+] Response is :
[+] Address is 0xbd
[+] Response is :
[+] Address is 0xbe
[+] Response is :
[+] Address is 0xbf
[+] Response is :
[+] Address is 0xc0
[+] Response is :
[+] Address is 0xc1
[+] Response is :
[+] Address is 0xc2
[+] Response is :
[+] Address is 0xc3
[+] Response is :
[+] Address is 0xc4
[+] Response is :
[+] Address is 0xc5
[+] Response is :
[+] Address is 0xc6
[+] Response is :
[+] Address is 0xc7
[+] Response is :
[+] Address is 0xc8
[+] Response is :
[+] Address is 0xc9
[+] Response is :
[+] Address is 0xca
[+] Response is :
[+] Address is 0xcb
[+] Response is :
[+] Address is 0xcc
[+] Response is :
[+] Address is 0xcd
[+] Response is :
[+] Address is 0xce
[+] Response is :
[+] Address is 0xcf
[+] Response is :
[+] Address is 0xd0
[+] Response is :
[+] Address is 0xd1
[+] Response is :
[+] Address is 0xd2
[+] Response is :
[+] Address is 0xd3
[+] Response is :
[+] Address is 0xd4
[+] Response is :
[+] Address is 0xd5
[+] Response is :
[+] Address is 0xd6
[+] Response is :
[+] Address is 0xd7
[+] Response is :
[+] Address is 0xd8
[+] Response is :
[+] Address is 0xd9
[+] Response is :
[+] Address is 0xda
[+] Response is :
[+] Address is 0xdb
[+] Response is :
[+] Address is 0xdc
[+] Response is :
[+] Address is 0xdd
[+] Response is :
[+] Address is 0xde
[+] Response is :
[+] Address is 0xdf
[+] Response is :
